Time,CPU_Usage (%),Memory_Usage (%)
2025-05-22 09:54:13,3.3,52.6
2025-05-22 09:54:14,2.3,52.6
2025-05-22 09:54:15,2.0,52.6
2025-05-22 09:54:16,2.5,52.6
2025-05-22 09:54:17,2.5,52.6
2025-05-22 09:54:18,3.7,52.6
2025-05-22 09:54:19,5.2,52.5
2025-05-22 09:54:20,20.2,52.5
2025-05-22 09:54:21,22.8,52.5
2025-05-22 09:54:22,11.3,52.5
2025-05-22 09:54:23,24.6,52.5
2025-05-22 09:54:24,10.9,52.5
2025-05-22 09:54:26,13.1,52.4
2025-05-22 09:54:27,22.8,52.4
2025-05-22 09:54:28,0.5,52.4
2025-05-22 09:54:29,1.8,52.4
2025-05-22 09:54:30,2.3,52.4
2025-05-22 09:54:31,3.0,52.4
2025-05-22 09:54:32,5.1,52.4
2025-05-22 09:54:33,1.5,52.5
2025-05-22 09:54:34,3.3,52.4
2025-05-22 09:54:35,3.8,52.4
2025-05-22 09:54:36,2.5,52.4
2025-05-22 09:54:37,11.7,52.4
2025-05-22 09:54:38,15.6,52.5
2025-05-22 09:54:41,13.5,52.6
2025-05-22 09:54:42,4.7,52.6
2025-05-22 09:54:43,4.8,52.7
2025-05-22 09:54:44,5.0,52.9
2025-05-22 09:54:45,2.0,52.5
2025-05-22 09:54:46,12.7,52.5
2025-05-22 09:54:47,3.0,52.5
2025-05-22 09:54:48,1.8,52.5
2025-05-22 09:54:49,2.3,52.5
2025-05-22 09:54:50,4.4,52.5
2025-05-22 09:54:51,2.0,52.5
2025-05-22 09:54:52,17.6,52.7
2025-05-22 09:54:53,66.5,53.4
2025-05-22 09:54:54,72.8,54.3
2025-05-22 09:54:55,65.4,54.6
2025-05-22 09:54:56,74.2,54.9
2025-05-22 09:54:57,56.0,55.1
2025-05-22 09:54:58,78.4,55.4
2025-05-22 09:54:59,83.4,55.9
2025-05-22 09:55:00,80.3,56.0
2025-05-22 09:55:01,57.2,56.5
2025-05-22 09:55:02,9.8,56.6
2025-05-22 09:55:03,13.3,56.6
2025-05-22 09:55:04,8.4,56.6
2025-05-22 09:55:05,3.0,56.6
2025-05-22 09:55:06,4.8,56.6
2025-05-22 09:55:07,2.0,56.6
2025-05-22 09:55:08,7.5,56.6
2025-05-22 09:55:09,5.9,53.8
2025-05-22 09:55:10,12.0,53.6
2025-05-22 09:55:11,3.6,53.5
